time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-03 00:00:00+00:00,766,172,950,124
2022-11-04 00:00:00+00:00,1119,196,882,115
2022-11-05 00:00:00+00:00,229,103,227,67
2022-11-06 00:00:00+00:00,293,108,162,57
2022-11-07 00:00:00+00:00,997,197,868,135
2022-11-08 00:00:00+00:00,1086,176,1208,126
2022-11-09 00:00:00+00:00,737,174,690,119
2022-11-10 00:00:00+00:00,573,124,805,121
2022-11-11 00:00:00+00:00,762,113,598,89
2022-11-12 00:00:00+00:00,248,95,168,59
2022-11-13 00:00:00+00:00,238,105,282,63
2022-11-14 00:00:00+00:00,650,151,633,98
2022-11-15 00:00:00+00:00,865,149,933,121
2022-11-16 00:00:00+00:00,361,148,573,112
